episode,epsilon,moves,raw_return,train_return,won,replay_size,updates,loss,lr,rolling_success_100
163,0.95603,40,-49.0,-49.0,False,2328,1817,0.34723061323165894,0.0007990056150912148,0.48
164,0.95576,27,-16.0,-15.2,True,2355,1844,0.2467816323041916,0.0007989889809716394,0.49
165,0.95549,6,-15.0,-15.0,False,2361,1850,0.24688875675201416,0.0007989722090767413,0.48
166,0.95521,8,-17.0,-17.2,False,2369,1858,0.3351922333240509,0.0007989552994131416,0.47
167,0.95494,2,-11.0,-11.0,False,2371,1860,0.19244825839996338,0.000798938251987516,0.47
168,0.95467,30,-19.0,-18.2,True,2401,1890,0.23596633970737457,0.0007989210668065948,0.47
169,0.9544,1,10.0,10.0,True,2402,1891,0.3558638095855713,0.0007989037438771622,0.47
170,0.95413,3,8.0,8.4,True,2405,1894,0.32424917817115784,0.0007988862832060572,0.48
171,0.95386,8,-17.0,-17.2,False,2413,1902,0.1954347938299179,0.0007988686848001727,0.48
172,0.95359,2,9.0,9.0,True,2415,1904,0.2643756866455078,0.0007988509486664566,0.49
173,0.95331,38,-27.0,-26.2,True,2453,1942,0.21090763807296753,0.0007988330748119106,0.5
174,0.95304,3,-12.0,-12.0,False,2456,1945,0.22906015813350677,0.0007988150632435912,0.5
175,0.95277,2,9.0,9.2,True,2458,1947,0.18266049027442932,0.000798796913968609,0.51
176,0.9525,26,-35.0,-35.4,False,2484,1973,0.17804890871047974,0.0007987786269941289,0.5
177,0.95223,24,-33.0,-33.0,False,2508,1997,0.20006245374679565,0.0007987602023273705,0.49
178,0.95196,2,9.0,9.2,True,2510,1999,0.17330509424209595,0.0007987416399756075,0.49
179,0.95169,4,-13.0,-13.0,False,2514,2003,0.5679537057876587,0.0007987229399461681,0.48
180,0.95141,1,10.0,10.0,True,2515,2004,0.6149119734764099,0.0007987041022464346,0.48
181,0.95114,6,5.0,5.0,True,2521,2010,0.5584807991981506,0.0007986851268838442,0.49
182,0.95087,1,-10.0,-10.0,False,2522,2011,0.730641782283783,0.0007986660138658876,0.49
183,0.9506,45,-45.0,-45.0,False,2567,2056,0.33352789282798767,0.0007986467632001105,0.49
184,0.95033,1,-10.0,-10.0,False,2568,2057,0.24992485344409943,0.0007986273748941128,0.49
185,0.95006,1,-10.0,-10.0,False,2569,2058,0.29435470700263977,0.0007986078489555487,0.48
186,0.94979,18,-27.0,-26.6,False,2587,2076,0.2534254193305969,0.0007985881853921268,0.48
187,0.94951,1,-10.0,-10.0,False,2588,2077,0.19026194512844086,0.0007985683842116099,0.47
188,0.94924,5,6.0,6.6,True,2593,2082,0.23516833782196045,0.000798548445421815,0.48
189,0.94897,3,8.0,8.0,True,2596,2085,0.24477814137935638,0.000798528369030614,0.49
190,0.9487,6,5.0,5.4,True,2602,2091,0.1808633655309677,0.0007985081550459324,0.49
191,0.94843,8,3.0,3.2,True,2610,2099,0.2241453379392624,0.0007984878034757505,0.49
192,0.94816,9,-18.0,-18.6,False,2619,2108,0.23540298640727997,0.0007984673143281028,0.49
193,0.94789,8,3.0,3.2,True,2627,2116,0.21385996043682098,0.0007984466876110781,0.49
194,0.94761,13,-22.0,-21.8,False,2640,2129,0.17723597586154938,0.0007984259233328193,0.49
195,0.94734,24,-33.0,-33.4,False,2664,2153,0.19897086918354034,0.0007984050215015242,0.49
196,0.94707,6,-15.0,-14.6,False,2670,2159,0.1849662810564041,0.0007983839821254441,0.48
197,0.9468,10,1.0,1.8,True,2680,2169,0.2153943032026291,0.0007983628052128852,0.49
198,0.94653,2,9.0,9.2,True,2682,2171,0.2503848671913147,0.000798341490772208,0.49
199,0.94626,7,-16.0,-16.6,False,2689,2178,0.17564795911312103,0.0007983200388118267,0.49
200,0.94599,45,-45.0,-45.4,False,2734,2223,0.17367734014987946,0.0007982984493402106,0.48
201,0.94571,9,2.0,2.2,True,2743,2232,0.1427820920944214,0.0007982767223658825,0.48
202,0.94544,45,-45.0,-44.6,False,2788,2277,0.3202604353427887,0.0007982548578974202,0.48
203,0.94517,5,6.0,6.4,True,2793,2282,0.34169286489486694,0.0007982328559434552,0.48
204,0.9449,11,0.0,0.2,True,2804,2293,0.29038065671920776,0.0007982107165126736,0.48
205,0.94463,17,-26.0,-25.8,False,2821,2310,0.2713814973831177,0.0007981884396138158,0.47
206,0.94436,7,4.0,4.8,True,2828,2317,0.20625486969947815,0.0007981660252556761,0.47
207,0.94409,5,-14.0,-13.8,False,2833,2322,0.2336277961730957,0.0007981434734471036,0.47
208,0.94381,5,6.0,6.2,True,2838,2327,0.34948480129241943,0.0007981207841970013,0.47
209,0.94354,45,-45.0,-44.4,False,2883,2372,0.2108921855688095,0.0007980979575143267,0.46
210,0.94327,7,-16.0,-15.8,False,2890,2379,0.17872320115566254,0.0007980749934080912,0.46
211,0.943,30,-19.0,-18.8,True,2920,2409,0.17698006331920624,0.0007980518918873608,0.46
212,0.94273,27,-16.0,-15.4,True,2947,2436,0.17391593754291534,0.0007980286529612554,0.46
213,0.94246,30,-39.0,-38.6,False,2977,2466,0.17814622819423676,0.0007980052766389497,0.46
214,0.94219,30,-19.0,-18.2,True,3007,2496,0.1675773561000824,0.000797981762929672,0.46
215,0.94191,16,-5.0,-4.2,True,3023,2512,0.3350825607776642,0.0007979581118427053,0.47
216,0.94164,45,-34.0,-33.8,True,3068,2557,0.27410268783569336,0.0007979343233873867,0.47
217,0.94137,9,2.0,2.4,True,3077,2566,0.17578966915607452,0.0007979103975731073,0.48
218,0.9411,1,-10.0,-10.0,False,3078,2567,0.245615616440773,0.000797886334409313,0.47
219,0.94083,1,10.0,10.0,True,3079,2568,0.22442726790905,0.0007978621339055032,0.47
220,0.94056,10,1.0,1.2,True,3089,2578,0.17892619967460632,0.000797837796071232,0.48
221,0.94029,25,-34.0,-33.8,False,3114,2603,0.20356139540672302,0.0007978133209161076,0.47
222,0.94001,4,-13.0,-13.2,False,3118,2607,0.13238686323165894,0.0007977887084497924,0.47
223,0.93974,7,4.0,4.6,True,3125,2614,0.15106429159641266,0.0007977639586820031,0.48
224,0.93947,39,-28.0,-27.6,True,3164,2653,0.1614523082971573,0.0007977390716225103,0.49
225,0.9392,19,-8.0,-7.4,True,3183,2672,0.144431471824646,0.0007977140472811393,0.5
226,0.93893,2,9.0,9.2,True,3185,2674,0.1611926555633545,0.0007976888856677691,0.51
227,0.93866,9,-18.0,-18.0,False,3194,2683,0.12076173722743988,0.0007976635867923331,0.5
228,0.93839,13,-2.0,-1.6,True,3207,2696,0.16506341099739075,0.0007976381506648191,0.51
229,0.93811,1,10.0,10.0,True,3208,2697,0.0791516825556755,0.0007976125772952687,0.51
